contrast,left_method,right_method,seed,test_ba_delta_pp,l2_wholecount_probe_delta_pp
B_minus_A_factorization,B_two_linear,A_a2_direct_linear,11,-2.8486097236097185,-4.158133533133535
B_minus_A_factorization,B_two_linear,A_a2_direct_linear,23,-7.0623820623820555,-2.616411366411364
B_minus_A_factorization,B_two_linear,A_a2_direct_linear,37,-6.097166722166724,-11.458680208680205
C_minus_B_softmax_normalization,C_latent_softmax,B_two_linear,11,-17.677669552669556,-1.6094322344322287
C_minus_B_softmax_normalization,C_latent_softmax,B_two_linear,23,-32.84472471972472,-8.12611000111001
C_minus_B_softmax_normalization,C_latent_softmax,B_two_linear,37,-25.601759351759345,-4.5233238983239055
D_minus_C_restore_rms_magnitude,D_latent_softmax_rms,C_latent_softmax,11,15.764374514374513,-0.26286213786214097
D_minus_C_restore_rms_magnitude,D_latent_softmax_rms,C_latent_softmax,23,10.549034299034297,-7.310397935397933
D_minus_C_restore_rms_magnitude,D_latent_softmax_rms,C_latent_softmax,37,14.258241758241756,4.301531801531805
D_minus_B_softmax_plus_magnitude_vs_linear,D_latent_softmax_rms,B_two_linear,11,-1.913295038295043,-1.8722943722943697
D_minus_B_softmax_plus_magnitude_vs_linear,D_latent_softmax_rms,B_two_linear,23,-22.295690420690423,-15.436507936507942
D_minus_B_softmax_plus_magnitude_vs_linear,D_latent_softmax_rms,B_two_linear,37,-11.343517593517587,-0.22179209679210055
