method,seed,aggregation,split,both_correct,both_wrong,l1_only_correct,l2_only_correct,oracle_union_accuracy,prediction_disagreement
l2_only,11,fixed250,test,0.4863013698630137,0.3561643835616438,0.0547945205479452,0.10273972602739725,0.6438356164383562,0.3082191780821918
l2_only,11,fixed250,train,0.9845094664371773,0.0034423407917383822,0.012048192771084338,0.0,0.9965576592082617,0.01549053356282272
l2_only,11,fixed250,val,0.4603174603174603,0.2857142857142857,0.1111111111111111,0.14285714285714285,0.7142857142857143,0.3968253968253968
l2_only,11,whole,test,0.4726027397260274,0.2945205479452055,0.1095890410958904,0.1232876712328767,0.7054794520547946,0.363013698630137
l2_only,11,whole,train,0.927710843373494,0.03614457831325301,0.03098106712564544,0.0051635111876075735,0.963855421686747,0.04130808950086059
l2_only,11,whole,val,0.4603174603174603,0.35714285714285715,0.07142857142857142,0.1111111111111111,0.6428571428571429,0.2777777777777778
l2_only,23,fixed250,test,0.4726027397260274,0.3150684931506849,0.0547945205479452,0.15753424657534246,0.684931506849315,0.363013698630137
l2_only,23,fixed250,train,0.9931153184165232,0.0051635111876075735,0.0017211703958691911,0.0,0.9948364888123924,0.0017211703958691911
l2_only,23,fixed250,val,0.42063492063492064,0.29365079365079366,0.11904761904761904,0.16666666666666666,0.7063492063492064,0.3968253968253968
l2_only,23,whole,test,0.4589041095890411,0.3287671232876712,0.11643835616438356,0.0958904109589041,0.6712328767123288,0.3082191780821918
l2_only,23,whole,train,0.8691910499139415,0.0051635111876075735,0.0,0.12564543889845095,0.9948364888123924,0.12908777969018934
l2_only,23,whole,val,0.46825396825396826,0.35714285714285715,0.0873015873015873,0.0873015873015873,0.6428571428571429,0.29365079365079366
l2_only,37,fixed250,test,0.4178082191780822,0.3219178082191781,0.10273972602739725,0.15753424657534246,0.678082191780822,0.3767123287671233
l2_only,37,fixed250,train,0.9948364888123924,0.0034423407917383822,0.0017211703958691911,0.0,0.9965576592082617,0.0017211703958691911
l2_only,37,fixed250,val,0.42857142857142855,0.31746031746031744,0.0873015873015873,0.16666666666666666,0.6825396825396826,0.4126984126984127
l2_only,37,whole,test,0.4315068493150685,0.3356164383561644,0.1506849315068493,0.0821917808219178,0.6643835616438356,0.3356164383561644
l2_only,37,whole,train,0.963855421686747,0.010327022375215147,0.0017211703958691911,0.024096385542168676,0.9896729776247849,0.03442340791738382
l2_only,37,whole,val,0.4603174603174603,0.30158730158730157,0.11904761904761904,0.11904761904761904,0.6984126984126984,0.3253968253968254
l1_l2_joint,11,fixed250,test,0.5068493150684932,0.2945205479452055,0.08904109589041095,0.1095890410958904,0.7054794520547946,0.3356164383561644
l1_l2_joint,11,fixed250,train,0.9896729776247849,0.0017211703958691911,0.0,0.008605851979345954,0.9982788296041308,0.010327022375215147
l1_l2_joint,11,fixed250,val,0.4603174603174603,0.25396825396825395,0.1111111111111111,0.1746031746031746,0.746031746031746,0.36507936507936506
l1_l2_joint,11,whole,test,0.4794520547945205,0.2808219178082192,0.17123287671232876,0.0684931506849315,0.7191780821917808,0.3698630136986301
l1_l2_joint,11,whole,train,0.9724612736660929,0.0017211703958691911,0.0,0.025817555938037865,0.9982788296041308,0.025817555938037865
l1_l2_joint,11,whole,val,0.5079365079365079,0.2857142857142857,0.0873015873015873,0.11904761904761904,0.7142857142857143,0.29365079365079366
l1_l2_joint,23,fixed250,test,0.5547945205479452,0.2876712328767123,0.0821917808219178,0.07534246575342465,0.7123287671232876,0.2534246575342466
l1_l2_joint,23,fixed250,train,0.9879518072289156,0.0017211703958691911,0.0,0.010327022375215147,0.9982788296041308,0.012048192771084338
l1_l2_joint,23,fixed250,val,0.4603174603174603,0.30158730158730157,0.1111111111111111,0.12698412698412698,0.6984126984126984,0.3412698412698413
l1_l2_joint,23,whole,test,0.5342465753424658,0.273972602739726,0.1095890410958904,0.0821917808219178,0.726027397260274,0.273972602739726
l1_l2_joint,23,whole,train,0.8657487091222031,0.06196213425129088,0.012048192771084338,0.060240963855421686,0.9380378657487092,0.08777969018932874
l1_l2_joint,23,whole,val,0.47619047619047616,0.30952380952380953,0.10317460317460317,0.1111111111111111,0.6904761904761905,0.30952380952380953
l1_l2_joint,37,fixed250,test,0.5342465753424658,0.3082191780821918,0.07534246575342465,0.0821917808219178,0.6917808219178082,0.3287671232876712
l1_l2_joint,37,fixed250,train,0.9913941480206541,0.0,0.0,0.008605851979345954,1.0,0.008605851979345954
l1_l2_joint,37,fixed250,val,0.4523809523809524,0.3333333333333333,0.07936507936507936,0.1349206349206349,0.6666666666666666,0.38095238095238093
l1_l2_joint,37,whole,test,0.5136986301369864,0.2945205479452055,0.07534246575342465,0.11643835616438356,0.7054794520547946,0.3082191780821918
l1_l2_joint,37,whole,train,0.882960413080895,0.020654044750430294,0.0,0.0963855421686747,0.9793459552495697,0.10499139414802065
l1_l2_joint,37,whole,val,0.48412698412698413,0.3253968253968254,0.0873015873015873,0.10317460317460317,0.6746031746031746,0.31746031746031744
l2_main_l1_aux,11,fixed250,test,0.5,0.3013698630136986,0.0958904109589041,0.10273972602739725,0.6986301369863014,0.3150684931506849
l2_main_l1_aux,11,fixed250,train,0.9965576592082617,0.0017211703958691911,0.0,0.0017211703958691911,0.9982788296041308,0.0017211703958691911
l2_main_l1_aux,11,fixed250,val,0.4523809523809524,0.30158730158730157,0.10317460317460317,0.14285714285714285,0.6984126984126984,0.373015873015873
l2_main_l1_aux,11,whole,test,0.4794520547945205,0.2602739726027397,0.13013698630136986,0.13013698630136986,0.7397260273972602,0.3767123287671233
l2_main_l1_aux,11,whole,train,0.9225473321858864,0.022375215146299483,0.05335628227194492,0.0017211703958691911,0.9776247848537005,0.058519793459552494
l2_main_l1_aux,11,whole,val,0.5079365079365079,0.3253968253968254,0.07936507936507936,0.0873015873015873,0.6746031746031746,0.24603174603174602
l2_main_l1_aux,23,fixed250,test,0.4931506849315068,0.3287671232876712,0.0547945205479452,0.1232876712328767,0.6712328767123288,0.3287671232876712
l2_main_l1_aux,23,fixed250,train,0.919104991394148,0.01721170395869191,0.06368330464716007,0.0,0.9827882960413081,0.06540447504302926
l2_main_l1_aux,23,fixed250,val,0.49206349206349204,0.31746031746031744,0.07936507936507936,0.1111111111111111,0.6825396825396826,0.3333333333333333
l2_main_l1_aux,23,whole,test,0.4863013698630137,0.3287671232876712,0.0821917808219178,0.10273972602739725,0.6712328767123288,0.2808219178082192
l2_main_l1_aux,23,whole,train,0.9500860585197934,0.027538726333907058,0.01549053356282272,0.0068846815834767644,0.9724612736660929,0.029259896729776247
l2_main_l1_aux,23,whole,val,0.46825396825396826,0.3333333333333333,0.07936507936507936,0.11904761904761904,0.6666666666666666,0.3253968253968254
