contrast,method_a,method_b,seed,delta_linear_test_ba,delta_lif_test_ba,delta_l1_pre_reset_fixed250_ba,delta_l1_communication_fixed250_ba,delta_l2_pre_reset_fixed250_ba,delta_l2_communication_fixed250_ba,delta_l1_threshold_delta_fixed250,delta_l1_to_l2_transform_delta_fixed250,delta_l2_threshold_delta_fixed250
l1_mt_when_l2_binary,mb,bb,11,0.010651154401154383,0.04613095238095244,-0.012896825396825351,0.02619255744255744,-0.010941835941835953,-0.03065684315684314,0.03908938283938279,-0.037134393384393394,-0.019715007215007185
l1_mt_when_l2_binary,mb,bb,23,-0.07489663114663103,-0.08472014097014108,0.01236263736263743,0.02407314907314917,0.006818181818181834,-0.03265276390276395,0.01171051171051174,-0.017254967254967335,-0.03947094572094578
l1_mt_when_l2_binary,mb,bb,37,-0.02526848151848149,-0.010313297813297817,0.004960317460317554,0.050061050061050105,-0.023405760905760853,-0.010888417138417261,0.04510073260073255,-0.07346681096681096,0.012517343767343592
l2_mt_when_l1_binary,bm,bb,11,-0.0005841380841381527,-0.03536741036741037,-0.007402319902319876,0.00982350982350999,-0.00936355311355308,-0.04071275946275943,0.017225829725829866,-0.01918706293706307,-0.03134920634920635
l2_mt_when_l1_binary,bm,bb,23,-0.00020951270951263812,-0.06635517260517276,-0.016991341991342,0.048895548895548924,0.05439907314907322,-0.028573509823509813,0.06588689088689093,0.0055035242535242945,-0.08297258297258303
l2_mt_when_l1_binary,bm,bb,37,-0.010723304473304385,-0.011233211233211304,-0.0016233766233765268,0.020247113997113986,-0.038681457431457456,0.019031662781662795,0.021870490620490513,-0.05892857142857144,0.05771312021312025
l2_mt_when_l1_mt,mm,mb,11,0.003104534354534283,-0.036853424353424424,0.007652070152070034,0.012867687867687883,-0.006617687867687794,0.06034243534243533,0.0052156177156178485,-0.019485375735375676,0.06696012321012312
l2_mt_when_l1_mt,mm,mb,23,0.05026848151848151,0.006933344433344535,0.015151515151515138,0.016332972582972505,0.007041569541569648,0.04279401154401152,0.0011814574314573667,-0.009291403041402857,0.035752442002441875
l2_mt_when_l1_mt,mm,mb,37,0.03525432900432901,0.07750097125097127,-0.023275335775335804,-0.013528138528138611,-0.015309690309690316,0.03128676878676884,0.009747197247197192,-0.0017815517815517046,0.04659645909645915
l1_mt_when_l2_mt,mm,bm,11,0.01433982683982682,0.04464493839493838,0.002157564657564559,0.029236735486735332,-0.008195970695970667,0.07039835164835162,0.027079170829170773,-0.037432706182706,0.07859432234432229
l1_mt_when_l2_mt,mm,bm,23,-0.024418636918636882,-0.01143162393162378,0.04450549450549457,-0.00848942723942725,-0.040539321789321736,0.03871475746475739,-0.05299492174492182,-0.032049894549894486,0.07925407925407912
l1_mt_when_l2_mt,mm,bm,37,0.020709151959151906,0.07842088467088476,-0.016691641691641723,0.016285797535797508,-3.399378399371322e-05,0.001366688866688781,0.03297743922743923,-0.01631979131979122,0.0014006826506824943
mm_vs_bb,mm,bb,11,0.013755688755688666,0.009277528027528015,-0.005244755244755317,0.03906024531024532,-0.017559523809523747,0.02968559218559219,0.04430500055500064,-0.05661976911976907,0.04724511599511594
mm_vs_bb,mm,bb,23,-0.02462814962814952,-0.07778679653679654,0.027514152514152568,0.040406121656121674,0.013859751359751482,0.010141247641247575,0.012891969141969106,-0.026546370296370192,-0.003718503718503907
mm_vs_bb,mm,bb,37,0.009985847485847521,0.06718767343767346,-0.01831501831501825,0.036532911532911494,-0.03871545121545117,0.020398351648351576,0.054847929847929744,-0.07524836274836266,0.059113802863802745
