seed,metric,effect,value
11,linear_test_ba,l1_mt_main_effect,0.012495490620490601
11,linear_test_ba,l2_mt_main_effect,0.0012601981351980651
11,linear_test_ba,l1_x_l2_interaction,0.0036886724386724357
11,lif_test_ba,l1_mt_main_effect,0.04538794538794541
11,lif_test_ba,l2_mt_main_effect,-0.036110417360417396
11,lif_test_ba,l1_x_l2_interaction,-0.001486013986014001
11,l1_pre_reset_fixed250_ba,l1_mt_main_effect,-0.005369630369630396
11,l1_pre_reset_fixed250_ba,l2_mt_main_effect,0.000124875124875079
11,l1_pre_reset_fixed250_ba,l1_x_l2_interaction,0.01505439005438991
11,l1_communication_fixed250_ba,l1_mt_main_effect,0.027714646464646386
11,l1_communication_fixed250_ba,l2_mt_main_effect,0.011345598845598936
11,l1_communication_fixed250_ba,l1_x_l2_interaction,0.003044178044177892
11,l2_pre_reset_fixed250_ba,l1_mt_main_effect,-0.00956890331890331
11,l2_pre_reset_fixed250_ba,l2_mt_main_effect,-0.007990620490620437
11,l2_pre_reset_fixed250_ba,l1_x_l2_interaction,0.0027458652458652866
11,l2_communication_fixed250_ba,l1_mt_main_effect,0.01987075424575424
11,l2_communication_fixed250_ba,l2_mt_main_effect,0.00981483793983795
11,l2_communication_fixed250_ba,l1_x_l2_interaction,0.10105519480519476
11,l1_threshold_delta_fixed250,l1_mt_main_effect,0.03308427683427678
11,l1_threshold_delta_fixed250,l2_mt_main_effect,0.011220723720723857
11,l1_threshold_delta_fixed250,l1_x_l2_interaction,-0.012010212010212018
11,l1_to_l2_transform_delta_fixed250,l1_mt_main_effect,-0.037283549783549697
11,l1_to_l2_transform_delta_fixed250,l2_mt_main_effect,-0.019336219336219373
11,l1_to_l2_transform_delta_fixed250,l1_x_l2_interaction,-0.0002983127983126055
11,l2_threshold_delta_fixed250,l1_mt_main_effect,0.02943965756465755
11,l2_threshold_delta_fixed250,l2_mt_main_effect,0.017805458430458387
11,l2_threshold_delta_fixed250,l1_x_l2_interaction,0.09830932955932947
23,linear_test_ba,l1_mt_main_effect,-0.04965763403263396
23,linear_test_ba,l2_mt_main_effect,0.025029484404484437
23,linear_test_ba,l1_x_l2_interaction,0.05047799422799415
23,lif_test_ba,l1_mt_main_effect,-0.04807588245088243
23,lif_test_ba,l2_mt_main_effect,-0.029710914085914114
23,lif_test_ba,l1_x_l2_interaction,0.0732885170385173
23,l1_pre_reset_fixed250_ba,l1_mt_main_effect,0.028434065934066
23,l1_pre_reset_fixed250_ba,l2_mt_main_effect,-0.0009199134199134318
23,l1_pre_reset_fixed250_ba,l1_x_l2_interaction,0.03214285714285714
23,l1_communication_fixed250_ba,l1_mt_main_effect,0.00779186091686096
23,l1_communication_fixed250_ba,l2_mt_main_effect,0.032614260739260714
23,l1_communication_fixed250_ba,l1_x_l2_interaction,-0.03256257631257642
23,l2_pre_reset_fixed250_ba,l1_mt_main_effect,-0.01686056998556995
23,l2_pre_reset_fixed250_ba,l2_mt_main_effect,0.030720321345321433
23,l2_pre_reset_fixed250_ba,l1_x_l2_interaction,-0.04735750360750357
23,l2_communication_fixed250_ba,l1_mt_main_effect,0.0030309967809967198
23,l2_communication_fixed250_ba,l2_mt_main_effect,0.007110250860250855
23,l2_communication_fixed250_ba,l1_x_l2_interaction,0.07136752136752134
23,l1_threshold_delta_fixed250,l1_mt_main_effect,-0.02064220501720504
23,l1_threshold_delta_fixed250,l2_mt_main_effect,0.033534174159174146
23,l1_threshold_delta_fixed250,l1_x_l2_interaction,-0.06470543345543356
23,l1_to_l2_transform_delta_fixed250,l1_mt_main_effect,-0.02465243090243091
23,l1_to_l2_transform_delta_fixed250,l2_mt_main_effect,-0.0018939393939392812
23,l1_to_l2_transform_delta_fixed250,l1_x_l2_interaction,-0.014794927294927152
23,l2_threshold_delta_fixed250,l1_mt_main_effect,0.01989156676656667
23,l2_threshold_delta_fixed250,l2_mt_main_effect,-0.023610070485070578
