method,seed,l1_coding,l2_coding,parameter_count,linear_test_ba,lif_test_ba,best_epoch,l1_pre_reset_whole_ba,l1_pre_reset_fixed250_ba,l1_communication_whole_ba,l1_communication_fixed250_ba,l2_pre_reset_whole_ba,l2_pre_reset_fixed250_ba,l2_communication_whole_ba,l2_communication_fixed250_ba,l1_threshold_delta_whole,l1_to_l2_transform_delta_whole,l2_threshold_delta_whole,l1_quantization_gap_whole,l2_quantization_gap_whole,l1_threshold_delta_fixed250,l1_to_l2_transform_delta_fixed250,l2_threshold_delta_fixed250,l1_quantization_gap_fixed250,l2_quantization_gap_fixed250
bb,11,binary,binary,21760,0.5306318681318681,0.5123529248529248,94,0.5393120768120767,0.6253427128427128,0.5444479131979132,0.530309274059274,0.5562271062271061,0.5873036685536686,0.5470009157509156,0.6111242923742923,0.005135836385836479,0.011779193029192947,-0.009226190476190554,-0.005135836385836479,0.009226190476190554,-0.09503343878343884,0.056994394494394585,0.023820623820623776,0.09503343878343884,-0.023820623820623776
bb,23,binary,binary,21760,0.5961822899322898,0.5666701354201354,89,0.5501505439005439,0.6115301365301364,0.5573447385947385,0.5458596958596957,0.5370802808302808,0.5786477411477411,0.5671509046509046,0.6428682428682428,0.007194194694194689,-0.020264457764457733,0.030070623820623754,-0.007194194694194689,-0.030070623820623754,-0.0656704406704407,0.03278804528804535,0.06422050172050175,0.0656704406704407,-0.06422050172050175
bb,37,binary,binary,21760,0.5666909479409479,0.49502997002997,90,0.504048729048729,0.6324605949605948,0.5924617049617049,0.526032301032301,0.5545516983016983,0.6032758907758907,0.5502226939726939,0.6010662948162948,0.08841297591297592,-0.03791000666000666,-0.0043290043290044045,-0.08841297591297592,0.0043290043290044045,-0.10642829392829378,0.07724358974358969,-0.0022095959595959114,0.10642829392829378,0.0022095959595959114
mb,11,hetero3,binary,21760,0.5412830225330225,0.5584838772338773,99,0.5329899267399266,0.6124458874458875,0.5699099511599511,0.5565018315018314,0.526649739149739,0.5763618326118326,0.5868548118548118,0.5804674492174492,0.03692002442002451,-0.04326021201021213,0.060205072705072804,-0.03692002442002451,-0.060205072705072804,-0.05594405594405605,0.01986000111000119,0.004105616605616591,0.05594405594405605,-0.004105616605616591
mb,23,hetero3,binary,21760,0.5212856587856588,0.48194999444999437,100,0.5571081696081696,0.6238927738927739,0.5227716727716727,0.5699328449328449,0.5050137362637362,0.5854659229659229,0.5287622100122099,0.6102154789654789,-0.034336496836496866,-0.017757936507936445,0.023748473748473664,0.034336496836496866,-0.023748473748473664,-0.05395992895992896,0.015533078033078018,0.024749555999555972,0.05395992895992896,-0.024749555999555972
mb,37,hetero3,binary,21760,0.5414224664224664,0.4847166722166722,77,0.59255883005883,0.6374209124209124,0.5395888833388832,0.5760933510933511,0.4911269286269286,0.5798701298701299,0.5848838661338661,0.5901778776778775,-0.052969946719946814,-0.048461954711954636,0.09375693750693753,0.052969946719946814,-0.09375693750693753,-0.06132756132756123,0.003776778776778733,0.01030774780774768,0.06132756132756123,-0.01030774780774768
bm,11,binary,hetero3,21760,0.53004773004773,0.47698551448551446,96,0.5591533466533466,0.6179403929403929,0.5313464313464312,0.540132783882784,0.47976606726606724,0.5779401154401155,0.5544504107004106,0.5704115329115329,-0.02780691530691537,-0.05158036408036398,0.07468434343434333,0.02780691530691537,-0.07468434343434333,-0.07780760905760897,0.037807331557331514,-0.0075285825285825725,0.07780760905760897,0.0075285825285825725
bm,23,binary,hetero3,21760,0.5959727772227772,0.5003149628149627,94,0.5536588411588411,0.5945387945387944,0.5384351759351759,0.5947552447552447,0.5560939060939061,0.6330468142968143,0.5923132423132423,0.614294733044733,-0.01522366522366525,0.017658730158730207,0.03621933621933626,0.01522366522366525,-0.03621933621933626,0.00021645021645022577,0.03829156954156965,-0.018752081252081276,-0.00021645021645022577,0.018752081252081276
bm,37,binary,hetero3,21760,0.5559676434676435,0.4837967587967587,98,0.5070249195249195,0.6308372183372183,0.5238539238539238,0.546279415029415,0.4859890109890109,0.5645944333444333,0.5502858252858253,0.6200979575979576,0.01682900432900436,-0.03786491286491295,0.06429681429681439,-0.01682900432900436,-0.06429681429681439,-0.08455780330780327,0.01831501831501825,0.05550352425352434,0.08455780330780327,-0.05550352425352434
mm,11,hetero3,hetero3,21760,0.5443875568875568,0.5216304528804528,91,0.5317883505383506,0.6200979575979575,0.5414356476856476,0.5693695193695193,0.5304084804084804,0.5697441447441448,0.5519633144633144,0.6408098845598845,0.009647297147296952,-0.011027167277167127,0.021554834054833938,-0.009647297147296952,-0.021554834054833938,-0.0507284382284382,0.0003746253746255146,0.07106573981573971,0.0507284382284382,-0.07106573981573971
mm,23,hetero3,hetero3,21760,0.5715541403041403,0.4888833388833389,88,0.5538322788322788,0.639044289044289,0.552039627039627,0.5862658175158174,0.5046800421800421,0.5925074925074926,0.5990613553113553,0.6530094905094904,-0.001792651792651867,-0.0473595848595848,0.09438131313131315,0.001792651792651867,-0.09438131313131315,-0.05277847152847159,0.006241674991675161,0.06050199800199785,0.05277847152847159,-0.06050199800199785
mm,37,hetero3,hetero3,21760,0.5766767954267954,0.5622176434676435,91,0.5499902874902874,0.6141455766455766,0.5453296703296703,0.5625652125652125,0.5279304029304029,0.5645604395604396,0.5883560883560882,0.6214646464646464,-0.004660617160617164,-0.017399267399267337,0.06042568542568527,0.004660617160617164,-0.06042568542568527,-0.05158036408036404,0.0019952269952270285,0.05690420690420683,0.05158036408036404,-0.05690420690420683
