cv_mode,method,rotation,seed,split,class_index,class_label,precision,recall,f1,support
cross_user,raw250_linear,0,11,train,0,A,1.0,1.0,1.0,41
cross_user,raw250_linear,0,11,train,1,B,1.0,1.0,1.0,43
cross_user,raw250_linear,0,11,train,2,C,1.0,1.0,1.0,46
cross_user,raw250_linear,0,11,train,3,D,1.0,1.0,1.0,43
cross_user,raw250_linear,0,11,train,4,E,1.0,1.0,1.0,47
cross_user,raw250_linear,0,11,train,5,G,1.0,1.0,1.0,43
cross_user,raw250_linear,0,11,train,6,H,1.0,1.0,1.0,47
cross_user,raw250_linear,0,11,train,7,I,1.0,1.0,1.0,47
cross_user,raw250_linear,0,11,train,8,J,1.0,1.0,1.0,45
cross_user,raw250_linear,0,11,train,9,K,1.0,1.0,1.0,46
cross_user,raw250_linear,0,11,train,10,L,1.0,1.0,1.0,28
cross_user,raw250_linear,0,11,train,11,X,1.0,1.0,1.0,34
cross_user,raw250_linear,0,11,val,0,A,0.42857142857142855,0.42857142857142855,0.42857142857142855,14
cross_user,raw250_linear,0,11,val,1,B,0.4,0.3076923076923077,0.34782608695652173,13
cross_user,raw250_linear,0,11,val,2,C,0.8333333333333334,0.6666666666666666,0.7407407407407407,15
cross_user,raw250_linear,0,11,val,3,D,0.6363636363636364,0.4375,0.5185185185185185,16
cross_user,raw250_linear,0,11,val,4,E,0.7333333333333333,0.6875,0.7096774193548387,16
cross_user,raw250_linear,0,11,val,5,G,0.9,0.6923076923076923,0.782608695652174,13
cross_user,raw250_linear,0,11,val,6,H,0.5238095238095238,0.6875,0.5945945945945946,16
cross_user,raw250_linear,0,11,val,7,I,0.6111111111111112,0.6875,0.6470588235294118,16
cross_user,raw250_linear,0,11,val,8,J,0.45,0.6,0.5142857142857142,15
cross_user,raw250_linear,0,11,val,9,K,0.6875,0.6875,0.6875,16
cross_user,raw250_linear,0,11,val,10,L,0.3333333333333333,0.5,0.4,8
cross_user,raw250_linear,0,11,val,11,X,0.5,0.45454545454545453,0.47619047619047616,11
cross_user,raw250_linear,0,11,test,0,A,0.625,0.45454545454545453,0.5263157894736842,11
cross_user,raw250_linear,0,11,test,1,B,0.6923076923076923,0.6,0.6428571428571429,15
cross_user,raw250_linear,0,11,test,2,C,0.6875,0.6470588235294118,0.6666666666666666,17
cross_user,raw250_linear,0,11,test,3,D,0.6,0.6,0.6,15
cross_user,raw250_linear,0,11,test,4,E,0.7333333333333333,0.8461538461538461,0.7857142857142857,13
cross_user,raw250_linear,0,11,test,5,G,0.8181818181818182,0.5625,0.6666666666666666,16
cross_user,raw250_linear,0,11,test,6,H,0.5,0.5882352941176471,0.5405405405405406,17
cross_user,raw250_linear,0,11,test,7,I,0.6,0.6923076923076923,0.6428571428571429,13
cross_user,raw250_linear,0,11,test,8,J,0.7058823529411765,0.8,0.75,15
cross_user,raw250_linear,0,11,test,9,K,0.7333333333333333,0.6470588235294118,0.6875,17
cross_user,raw250_linear,0,11,test,10,L,0.5714285714285714,0.4,0.47058823529411764,10
cross_user,raw250_linear,0,11,test,11,X,0.5,0.7333333333333333,0.5945945945945946,15
