cv_mode,method,rotation,seed,split,class_index,class_label,precision,recall,f1,support
within_user,a2_234x234,3,53,train,0,A,0.9487179487179487,0.9487179487179487,0.9487179487179487,39
within_user,a2_234x234,3,53,train,1,B,0.9183673469387755,0.9574468085106383,0.9375,47
within_user,a2_234x234,3,53,train,2,C,0.9795918367346939,0.96,0.9696969696969697,50
within_user,a2_234x234,3,53,train,3,D,0.95,0.9047619047619048,0.926829268292683,42
within_user,a2_234x234,3,53,train,4,E,1.0,0.9787234042553191,0.989247311827957,47
within_user,a2_234x234,3,53,train,5,G,1.0,0.9512195121951219,0.975,41
within_user,a2_234x234,3,53,train,6,H,0.9019607843137255,0.9387755102040817,0.92,49
within_user,a2_234x234,3,53,train,7,I,0.9210526315789473,0.8333333333333334,0.875,42
within_user,a2_234x234,3,53,train,8,J,0.8163265306122449,0.9090909090909091,0.8602150537634409,44
within_user,a2_234x234,3,53,train,9,K,0.9245283018867925,0.98,0.9514563106796117,50
within_user,a2_234x234,3,53,train,10,L,0.9259259259259259,0.9615384615384616,0.9433962264150944,26
within_user,a2_234x234,3,53,train,11,X,1.0,0.9142857142857143,0.9552238805970149,35
within_user,a2_234x234,3,53,val,0,A,0.7777777777777778,0.5,0.6086956521739131,14
within_user,a2_234x234,3,53,val,1,B,0.7142857142857143,0.6666666666666666,0.6896551724137931,15
within_user,a2_234x234,3,53,val,2,C,0.7857142857142857,0.8461538461538461,0.8148148148148148,13
within_user,a2_234x234,3,53,val,3,D,0.4666666666666667,0.4666666666666667,0.4666666666666667,15
within_user,a2_234x234,3,53,val,4,E,0.6111111111111112,0.7333333333333333,0.6666666666666666,15
within_user,a2_234x234,3,53,val,5,G,0.8125,0.7647058823529411,0.7878787878787878,17
within_user,a2_234x234,3,53,val,6,H,0.4642857142857143,0.8125,0.5909090909090909,16
within_user,a2_234x234,3,53,val,7,I,0.5,0.26666666666666666,0.34782608695652173,15
within_user,a2_234x234,3,53,val,8,J,0.3333333333333333,0.26666666666666666,0.2962962962962963,15
within_user,a2_234x234,3,53,val,9,K,0.5789473684210527,0.8461538461538461,0.6875,13
within_user,a2_234x234,3,53,val,10,L,0.8571428571428571,0.5454545454545454,0.6666666666666666,11
within_user,a2_234x234,3,53,val,11,X,0.3,0.2727272727272727,0.2857142857142857,11
within_user,a2_234x234,3,53,test,0,A,0.2857142857142857,0.15384615384615385,0.2,13
within_user,a2_234x234,3,53,test,1,B,0.47058823529411764,0.8888888888888888,0.6153846153846154,9
within_user,a2_234x234,3,53,test,2,C,0.8125,0.8666666666666667,0.8387096774193549,15
within_user,a2_234x234,3,53,test,3,D,0.45454545454545453,0.5882352941176471,0.5128205128205128,17
within_user,a2_234x234,3,53,test,4,E,0.6875,0.7857142857142857,0.7333333333333333,14
within_user,a2_234x234,3,53,test,5,G,0.6666666666666666,0.5714285714285714,0.6153846153846154,14
within_user,a2_234x234,3,53,test,6,H,0.5909090909090909,0.8666666666666667,0.7027027027027027,15
within_user,a2_234x234,3,53,test,7,I,0.36363636363636365,0.21052631578947367,0.26666666666666666,19
within_user,a2_234x234,3,53,test,8,J,0.4,0.375,0.3870967741935484,16
within_user,a2_234x234,3,53,test,9,K,0.6470588235294118,0.6875,0.6666666666666666,16
within_user,a2_234x234,3,53,test,10,L,0.5,0.3333333333333333,0.4,9
within_user,a2_234x234,3,53,test,11,X,0.5,0.35714285714285715,0.4166666666666667,14
