cv_mode,method,rotation,seed,split,user,n,accuracy,balanced_accuracy,macro_f1
cross_user,raw250_linear,0,11,train,user_0,22,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_11,44,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_13,32,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_14,41,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_16,42,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_19,42,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_3,63,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_4,44,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_5,42,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_7,55,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_8,43,1.0,1.0,1.0
cross_user,raw250_linear,0,11,train,user_9,40,1.0,1.0,1.0
cross_user,raw250_linear,0,11,val,user_10,33,0.45454545454545453,0.5,0.41289682539682543
cross_user,raw250_linear,0,11,val,user_12,42,0.5476190476190477,0.5416666666666666,0.5238756613756613
cross_user,raw250_linear,0,11,val,user_2,44,0.7272727272727273,0.7291666666666666,0.712121212121212
cross_user,raw250_linear,0,11,val,user_6,50,0.56,0.5708333333333333,0.5482804232804233
cross_user,raw250_linear,0,11,test,user_1,60,0.7666666666666667,0.7541666666666668,0.7456145706145706
cross_user,raw250_linear,0,11,test,user_15,42,0.6904761904761905,0.7152777777777777,0.6866402116402117
cross_user,raw250_linear,0,11,test,user_18,30,0.3333333333333333,0.3194444444444444,0.29074074074074074
cross_user,raw250_linear,0,11,test,user_20,42,0.6190476190476191,0.6180555555555555,0.5889790764790764
