cv_mode,method,rotation,seed,split,user,n,accuracy,balanced_accuracy,macro_f1
within_user,raw250_linear,0,11,train,user_0,13,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_1,36,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_10,21,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_11,26,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_12,25,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_13,20,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_14,24,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_15,26,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_16,25,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_18,18,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_19,24,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_2,26,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_20,25,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_3,37,0.972972972972973,0.9722222222222222,0.9740740740740742
within_user,raw250_linear,0,11,train,user_4,26,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_5,25,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_6,30,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_7,33,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_8,26,1.0,1.0,1.0
within_user,raw250_linear,0,11,train,user_9,24,1.0,1.0,1.0
within_user,raw250_linear,0,11,val,user_0,5,0.4,0.4,0.2857142857142857
within_user,raw250_linear,0,11,val,user_1,12,0.9166666666666666,0.9090909090909091,0.8787878787878788
within_user,raw250_linear,0,11,val,user_10,6,0.8333333333333334,0.8333333333333334,0.7777777777777777
within_user,raw250_linear,0,11,val,user_11,9,0.5555555555555556,0.5555555555555556,0.4259259259259259
within_user,raw250_linear,0,11,val,user_12,9,0.3333333333333333,0.3333333333333333,0.16666666666666663
within_user,raw250_linear,0,11,val,user_13,6,1.0,1.0,1.0
within_user,raw250_linear,0,11,val,user_14,9,0.6666666666666666,0.6666666666666666,0.55
within_user,raw250_linear,0,11,val,user_15,8,0.5,0.5,0.37037037037037035
within_user,raw250_linear,0,11,val,user_16,8,0.875,0.875,0.8333333333333333
within_user,raw250_linear,0,11,val,user_18,6,0.6666666666666666,0.6666666666666666,0.5
within_user,raw250_linear,0,11,val,user_19,9,0.8888888888888888,0.8888888888888888,0.8518518518518517
within_user,raw250_linear,0,11,val,user_2,9,0.5555555555555556,0.5555555555555556,0.4333333333333333
within_user,raw250_linear,0,11,val,user_20,9,0.7777777777777778,0.7777777777777778,0.7
within_user,raw250_linear,0,11,val,user_3,13,0.6923076923076923,0.7083333333333334,0.6527777777777778
within_user,raw250_linear,0,11,val,user_4,9,1.0,1.0,1.0
within_user,raw250_linear,0,11,val,user_5,9,0.5555555555555556,0.5555555555555556,0.4242424242424242
within_user,raw250_linear,0,11,val,user_6,10,0.8,0.8,0.696969696969697
within_user,raw250_linear,0,11,val,user_7,11,0.8181818181818182,0.8181818181818182,0.7222222222222222
within_user,raw250_linear,0,11,val,user_8,9,0.8888888888888888,0.8888888888888888,0.8
within_user,raw250_linear,0,11,val,user_9,8,0.25,0.25,0.15555555555555556
within_user,raw250_linear,0,11,test,user_0,4,0.25,0.25,0.2
within_user,raw250_linear,0,11,test,user_1,12,0.8333333333333334,0.8181818181818182,0.7575757575757575
within_user,raw250_linear,0,11,test,user_10,6,0.3333333333333333,0.3333333333333333,0.20833333333333331
within_user,raw250_linear,0,11,test,user_11,9,0.4444444444444444,0.4444444444444444,0.3333333333333333
within_user,raw250_linear,0,11,test,user_12,8,0.5,0.5,0.37777777777777777
within_user,raw250_linear,0,11,test,user_13,6,0.3333333333333333,0.3333333333333333,0.2857142857142857
within_user,raw250_linear,0,11,test,user_14,8,0.875,0.875,0.8333333333333333
within_user,raw250_linear,0,11,test,user_15,8,0.625,0.625,0.48148148148148145
within_user,raw250_linear,0,11,test,user_16,9,0.6666666666666666,0.6666666666666666,0.5333333333333333
within_user,raw250_linear,0,11,test,user_18,6,0.16666666666666666,0.16666666666666666,0.08333333333333333
within_user,raw250_linear,0,11,test,user_19,9,0.3333333333333333,0.3333333333333333,0.2727272727272727
within_user,raw250_linear,0,11,test,user_2,9,0.8888888888888888,0.8888888888888888,0.8518518518518517
within_user,raw250_linear,0,11,test,user_20,8,0.5,0.5,0.375
within_user,raw250_linear,0,11,test,user_3,13,0.7692307692307693,0.7272727272727273,0.625
within_user,raw250_linear,0,11,test,user_4,9,0.6666666666666666,0.6666666666666666,0.6296296296296295
within_user,raw250_linear,0,11,test,user_5,8,0.375,0.375,0.2121212121212121
within_user,raw250_linear,0,11,test,user_6,10,0.2,0.2,0.16666666666666666
within_user,raw250_linear,0,11,test,user_7,11,0.36363636363636365,0.36363636363636365,0.2833333333333333
within_user,raw250_linear,0,11,test,user_8,8,1.0,1.0,1.0
within_user,raw250_linear,0,11,test,user_9,8,0.625,0.625,0.5833333333333333
