epoch,layer,shift,mean_spikes_per_neuron_s,dead_neuron_fraction,spike_occupancy
1,l1,all,0.3431340069570979,0.4921875,0.005361468858704655
1,l1,2,0.009615125331771902,0.6511628031730652,0.00015023633330893597
1,l1,3,0.0946720032666772,0.4883720874786377,0.0014792500510418312
1,l1,4,0.9389715800184576,0.3333333432674408,0.0146714309377884
1,l2,all,3.118684777207222,0.2421875,0.048729449643862846
1,l2,2,0.4319410149042147,0.41860464215278625,0.006749078357878355
1,l2,3,2.970334102491997,0.1627907007932663,0.04641147035143745
1,l2,4,6.021281462725889,0.1428571492433548,0.09408252285509201
5,l1,all,0.49594169289382145,0.4609375,0.00774908895146596
5,l1,2,0.00862895863107735,0.6744186282157898,0.00013482747861058358
5,l1,3,0.1511300468814404,0.39534884691238403,0.0023614069825225064
5,l1,4,1.3478785584135924,0.3095238208770752,0.02106060247521238
5,l2,all,5.1529733311247305,0.1875,0.08051520829882391
5,l2,2,1.4506512167216892,0.3255814015865326,0.022666425261276393
5,l2,3,4.779210373240983,0.1627907007932663,0.07467516208189036
5,l2,4,9.326108047989777,0.0714285746216774,0.14572043824984027
10,l1,all,0.6654795428192811,0.421875,0.010398117856551268
10,l1,2,0.013066708784202841,0.604651153087616,0.0002041673247531694
10,l1,3,0.1989591318651263,0.3720930218696594,0.0031087364353925982
10,l1,4,1.811054055546353,0.2857142984867096,0.028297719617911766
10,l2,all,7.131522279277787,0.1015625,0.11143003561371542
10,l2,2,2.7430226779819025,0.20930232107639313,0.042859729343467226
10,l2,3,7.398222588610545,0.04651162773370743,0.11559722794703976
10,l2,4,11.351459649620988,0.0476190485060215,0.17736655702532794
20,l1,all,1.186433659102203,0.3125,0.018538025923471924
20,l1,2,0.0461032932574704,0.4651162922382355,0.000720363957147975
20,l1,3,0.5167513511639463,0.25581395626068115,0.008074239861936661
20,l1,4,3.0395418727371686,0.2142857164144516,0.04749284176151826
20,l2,all,11.35729667053172,0.0390625,0.17745776047705814
20,l2,2,7.4120289224202685,0.06976744532585144,0.1158129519128167
20,l2,3,12.188034253883995,0.0,0.19043803521693742
20,l2,4,14.545982315404213,0.0476190485060215,0.22728097367819083
40,l1,all,2.291452708298824,0.1875,0.035803948567169126
40,l1,2,0.1580332137863023,0.302325576543808,0.0024692689654109735
40,l1,3,1.4356121745360972,0.1860465109348297,0.02243144022712652
40,l1,4,5.35188559439015,0.0714285746216774,0.08362321241234609
40,l2,all,18.001656451880073,0.0234375,0.28127588206062615
40,l2,2,14.581460836469677,0.023255813866853714,0.2278353255698387
40,l2,3,19.523142173650086,0.0,0.3050490964632826
40,l2,4,19.945573723940463,0.0476190485060215,0.31164958943656973
60,l1,all,2.892661918171277,0.125,0.045197842471426206
60,l1,2,0.28672796822694163,0.1860465109348297,0.004480124503545963
60,l1,3,1.9121772326467406,0.13953489065170288,0.02987776926010532
60,l1,4,6.564471473532265,0.0476190485060215,0.10256986677394164
60,l2,all,20.87907901275468,0.0078125,0.3262356095742919
60,l2,2,18.248521713002376,0.0,0.2851331517656621
60,l2,3,22.208227557966186,0.0,0.34700355559322166
60,l2,4,22.21147369002264,0.02380952425301075,0.34705427640660375
80,l1,all,3.1768262381977803,0.09375,0.04963790997184032
80,l1,2,0.3850980966212234,0.1627907007932663,0.006017157759706616
80,l1,3,2.1032470309063105,0.09302325546741486,0.0328632348579111
80,l1,4,7.134164714419808,0.02380952425301075,0.1114713236628095
80,l2,all,22.36276296173596,0.0078125,0.3494181712771244
80,l2,2,20.082052151268726,0.0,0.31378206486357385
80,l2,3,23.83293719736046,0.0,0.3723896437087572
80,l2,4,23.192598026455904,0.02380952425301075,0.3623843441633735
100,l1,all,3.30818287228756,0.0859375,0.051690357379493124
100,l1,2,0.44352847363737574,0.13953489065170288,0.006930132400583996
100,l1,3,2.17573028340736,0.09302325546741486,0.03399578567824
100,l1,4,7.400459073806763,0.02380952425301075,0.11563217302823067
100,l2,all,23.059218154712607,0.0,0.3603002836673845
100,l2,2,20.92201963858531,0.0,0.3269065568528955
100,l2,3,24.370151507563822,0.0,0.3807836173056847
100,l2,4,23.905156298066682,0.0,0.3735180671572919
