epoch,split,accuracy,balanced_accuracy,macro_f1,weighted_f1,loss
1,train,0.0852359208523592,0.08243464052287582,0.023722047141925245,0.024270236809706577,2.52612636513906
1,val,0.08661417322834646,0.08125,0.02411655581195421,0.02575862352756333,2.5083324646386576
2,train,0.0837138508371385,0.08165849673202615,0.023622399604585148,0.024099879584129732,2.5215709122348593
2,val,0.07874015748031496,0.07430555555555556,0.02237136465324385,0.023886275960471385,2.5055382289285735
3,train,0.0852359208523592,0.0835375816993464,0.02416459565132295,0.024670678007961955,2.5177928345388474
3,val,0.07874015748031496,0.075,0.02272453285111513,0.024171662086542978,2.503352394254189
4,train,0.08295281582952815,0.08206699346405229,0.023666638372520726,0.024073744621689822,2.5144892889252173
4,val,0.07874015748031496,0.075,0.022826086956521736,0.024306744265662445,2.5013746314161405
5,train,0.08295281582952815,0.08243464052287582,0.023713228204622124,0.024112908711941917,2.5118117666317086
5,val,0.07480314960629922,0.07222222222222223,0.021795636285797285,0.023035857273035584,2.499598568818701
6,train,0.08143074581430745,0.08116830065359477,0.023291421583697115,0.023669650195911968,2.509310972382126
6,val,0.07480314960629922,0.07222222222222223,0.021795636285797285,0.023035857273035584,2.4981715134748326
7,train,0.0791476407914764,0.07908496732026145,0.022651121913707394,0.02301389426573258,2.5070440424450275
7,val,0.07480314960629922,0.07222222222222223,0.022121564072783585,0.023462920793437404,2.496680929904848
8,train,0.08143074581430745,0.08178104575163399,0.023226733757147688,0.02353959870073584,2.5052050386571088
8,val,0.07480314960629922,0.07222222222222223,0.022121564072783585,0.023462920793437404,2.4954491412545754
9,train,0.08143074581430745,0.08178104575163399,0.023262648667474295,0.023596340989902327,2.5031703893815362
9,val,0.07480314960629922,0.07222222222222223,0.022121564072783585,0.023462920793437404,2.4943095492565726
10,train,0.0806697108066971,0.08108660130718955,0.02304091185466765,0.02336829535597294,2.501467720740099
10,val,0.07480314960629922,0.07291666666666667,0.021916028981424973,0.023090114064365022,2.493238452851303
11,train,0.08295281582952815,0.0835375816993464,0.023727975738129414,0.02407853588251465,2.4997898868229838
11,val,0.07480314960629922,0.07291666666666667,0.022028615951267882,0.023237214345231915,2.4920689045913575
