Metric,Probe,Condition,Value
CNN_test_balanced_accuracy,CNN-S,A Raw,0.130050505050505
CNN_test_balanced_accuracy,CNN-S,B Frozen→Recon,0.1224747474747474
CNN_test_balanced_accuracy,CNN-S,C Recon,0.1025252525252525
CNN_test_balanced_accuracy,CNN-S,D Raw,0.1141414141414141
CNN_test_balanced_accuracy,CNN-S,D Recon,0.1098484848484848
CNN_test_balanced_accuracy,CNN-M,A Raw,0.3286075036075035
CNN_test_balanced_accuracy,CNN-M,B Frozen→Recon,0.1613997113997114
CNN_test_balanced_accuracy,CNN-M,C Recon,0.2144660894660894
CNN_test_balanced_accuracy,CNN-M,D Raw,0.2655393217893217
CNN_test_balanced_accuracy,CNN-M,D Recon,0.1347222222222222
CNN_test_balanced_accuracy,CNN-L,A Raw,0.5206890331890331
CNN_test_balanced_accuracy,CNN-L,B Frozen→Recon,0.2234848484848484
CNN_test_balanced_accuracy,CNN-L,C Recon,0.315566378066378
CNN_test_balanced_accuracy,CNN-L,D Raw,0.4863215488215488
CNN_test_balanced_accuracy,CNN-L,D Recon,0.3357683982683983
CNN_test_macro_f1,CNN-S,A Raw,0.0711403508771929
CNN_test_macro_f1,CNN-S,B Frozen→Recon,0.0538124582077062
CNN_test_macro_f1,CNN-S,C Recon,0.0594459611881214
CNN_test_macro_f1,CNN-S,D Raw,0.0714662520556829
CNN_test_macro_f1,CNN-S,D Recon,0.0703898724732058
CNN_test_macro_f1,CNN-M,A Raw,0.330985553108876
CNN_test_macro_f1,CNN-M,B Frozen→Recon,0.1341923110825666
CNN_test_macro_f1,CNN-M,C Recon,0.2177882093599359
CNN_test_macro_f1,CNN-M,D Raw,0.259432449985989
CNN_test_macro_f1,CNN-M,D Recon,0.1120039086705753
CNN_test_macro_f1,CNN-L,A Raw,0.5250892359586852
CNN_test_macro_f1,CNN-L,B Frozen→Recon,0.1668651085756348
CNN_test_macro_f1,CNN-L,C Recon,0.2799051353143666
CNN_test_macro_f1,CNN-L,D Raw,0.4532825394957231
CNN_test_macro_f1,CNN-L,D Recon,0.3112220509938563
kNN_test_balanced_accuracy,CNN-S,A Raw,0.2049332611832611
kNN_test_balanced_accuracy,CNN-S,B Frozen→Recon,0.0755050505050505
kNN_test_balanced_accuracy,CNN-S,C Recon,0.1309974747474747
kNN_test_balanced_accuracy,CNN-S,D Raw,0.2294823232323232
kNN_test_balanced_accuracy,CNN-S,D Recon,0.1150252525252524
kNN_test_balanced_accuracy,CNN-M,A Raw,0.3628607503607504
kNN_test_balanced_accuracy,CNN-M,B Frozen→Recon,0.1829906204906205
kNN_test_balanced_accuracy,CNN-M,C Recon,0.1984217171717172
kNN_test_balanced_accuracy,CNN-M,D Raw,0.2878246753246753
kNN_test_balanced_accuracy,CNN-M,D Recon,0.26133658008658
kNN_test_balanced_accuracy,CNN-L,A Raw,0.513771645021645
kNN_test_balanced_accuracy,CNN-L,B Frozen→Recon,0.3432239057239057
kNN_test_balanced_accuracy,CNN-L,C Recon,0.3595478595478596
kNN_test_balanced_accuracy,CNN-L,D Raw,0.5131673881673883
kNN_test_balanced_accuracy,CNN-L,D Recon,0.3605098605098605
prototype_test_balanced_accuracy,CNN-S,A Raw,0.2423520923520923
prototype_test_balanced_accuracy,CNN-S,B Frozen→Recon,0.0928030303030303
prototype_test_balanced_accuracy,CNN-S,C Recon,0.1382034632034632
prototype_test_balanced_accuracy,CNN-S,D Raw,0.09375
prototype_test_balanced_accuracy,CNN-S,D Recon,0.0965909090909091
prototype_test_balanced_accuracy,CNN-M,A Raw,0.2699314574314574
prototype_test_balanced_accuracy,CNN-M,B Frozen→Recon,0.235551948051948
prototype_test_balanced_accuracy,CNN-M,C Recon,0.2236562049062049
prototype_test_balanced_accuracy,CNN-M,D Raw,0.2502886002886003
prototype_test_balanced_accuracy,CNN-M,D Recon,0.1118686868686868
prototype_test_balanced_accuracy,CNN-L,A Raw,0.5103986291486291
prototype_test_balanced_accuracy,CNN-L,B Frozen→Recon,0.3218795093795094
prototype_test_balanced_accuracy,CNN-L,C Recon,0.3608104858104858
