segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,gravity_removal_method,gravity_low_pass_cutoff_hz,gravity_madgwick_beta,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_1,0,0,3,f,1720464139458474.0,1720464142001965.0,8156,8659,1720464139519169.0,1720464141931338.0,503,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
1,user_1,0,0,4,j,1720464142001965.0,1720464144344766.0,8659,9141,1720464142008876.0,1720464144333716.0,482,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
2,user_1,0,0,5,b,1720464144344766.0,1720464146763279.0,9141,9623,1720464144409222.0,1720464146757963.0,482,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
3,user_1,0,0,6,x,1720464146763279.0,1720464149307328.0,9623,10131,1720464146804431.0,1720464149303710.0,508,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
4,user_1,0,0,7,e,1720464149307328.0,1720464151230088.0,10131,10520,1720464149319018.0,1720464151215379.0,389,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
5,user_1,0,0,8,u,1720464151230088.0,1720464153579858.0,10520,10989,1720464151230088.0,1720464153532112.0,469,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
6,user_1,0,0,9,n,1720464153579858.0,1720464155841705.0,10989,11450,1720464153610998.0,1720464155835336.0,461,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
7,user_1,0,0,10,m,1720464155841705.0,1720464158402145.0,11450,11953,1720464155850216.0,1720464158323380.0,503,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
8,user_1,0,0,11,g,1720464158402145.0,1720464161271285.0,11953,12536,1720464158415991.0,1720464161234556.0,583,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
9,user_1,0,0,12,z,1720464161271285.0,1720464163249939.0,12536,12938,1720464161311617.0,1720464163236739.0,402,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
10,user_1,0,0,13,y,1720464163249939.0,1720464165208031.0,12938,13319,1720464163314658.0,1720464165130405.0,381,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
11,user_1,0,0,14,r,1720464165208031.0,1720464167609397.0,13319,13801,1720464165223797.0,1720464167556455.0,482,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
12,user_1,0,0,15,c,1720464167609397.0,1720464169805709.0,13801,14250,1720464167617312.0,1720464169803647.0,449,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
13,user_1,0,0,16,o,1720464169805709.0,1720464171644074.0,14250,14624,1720464169819232.0,1720464171631557.0,374,low-pass,0.2,0.1,False,next_label_timestamp,data/user_1/0/0_ring_0.bin,data/user_1/0/0_timestamp.txt
